歌ID,決まり字,下の句の決まり字,歌人,上の句,下の句,上の句（ひらがな）,下の句（ひらがな）,上の句（よみがな）,下の句（よみがな）
74,うか,はげ,源俊頼朝臣,憂かりける人を初瀬の山おろしよ,はげしかれとは祈らぬものを,うかりけるひとをはつせのやまおろしよ,はげしかれとはいのらぬものを,うかりけるひとをはつせのやまおろしよ,はげしかれとはいのらぬものを
75,ちぎりお,あわれ,藤原基俊,契りおきしさせもが露を命にて,あはれ今年の秋もいぬめり,ちぎりおきしさせもがつゆをいのちにて,あはれことしのあきもいぬめり,ちぎりおきしさせもがつゆをいのちにて,あわれことしのあきもいぬめり
76,わたのはらこ,くもい,法性寺入道前関白太政大臣,わたの原漕ぎ出でて見ればひさかたの,雲居にまがふ沖つ白波,わたのはらこぎいでてみればひさかたの,くもゐにまがふおきつしらなみ,わたのはらこぎいでてみればひさかたの,くもいにまごうおきつしらなみ
77,せ,われ,崇徳院,瀬をはやみ岩にせかるる滝川の,われても末に逢はむとぞ思ふ,せをはやみいはにせかるるたきがはの,われてもすゑにあはむとぞおもふ,せをはやみいわにせかるるたきがわの,われてもすえにあはんとぞおもう
78,あはじ,いく,源兼昌,淡路島通ふ千鳥の鳴く声に,いく夜寝覚めぬ須磨の関守,あはぢしまかよふちどりのなくこゑに,いくよねざめぬすまのせきもり,あはじしまかようちどりのなくこえに,いくよねざめぬすまのせきもり
79,あきか,もれ,左京大夫顕輔,秋風にたなびく雲のたえ間より,もれ出づる月の影のさやけさ,あきかぜにたなびくくものたえまより,もれいづるつきのかげのさやけさ,あきかぜにたなびくくものたえまより,もれいずるつきのかげのさやけさ
80,ながか,みだれて,待賢門院堀河,ながからむ心も知らず黒髪の,乱れてけさはものをこそ思へ,ながからむこころもしらずくろかみの,みだれてけさはものをこそおもへ,ながからんこころもしらずくろかみの,みだれてけさはものをこそおもえ
81,ほ,ただ,後徳大寺左大臣,ほととぎす鳴きつる方をながむれば,ただ有明の月ぞ残れる,ほととぎすなきつるかたをながむれば,ただありあけのつきぞのこれる,ほととぎすなきつるかたをながむれば,ただありあけのつきぞのこれる
82,おも,うき,道因法師,思ひわびさても命はあるものを,憂きに堪へぬは涙なりけり,おもひわびさてもいのちはあるものを,うきにたへぬはなみだなりけり,おもいわびさてもいのちはあるものを,うきにたえぬはなみだなりけり
83,よのなかよ,やま,皇太后宮大夫俊成,世の中よ道こそなけれ思ひ入る,山の奥にも鹿ぞ鳴くなる,よのなかよみちこそなけれおもひいる,やまのおくにもしかぞなくなる,よのなかよみちこそなけれおもいいる,やまのおくにもしかぞなくなる
